,Survival Time,Number Left,Number of Events,Number Censored,Number at Risk,Prob Survival,Prob Failure,Cumulative Hazard,SE Prob Survival,Upper CI Prob Survival,Lower CI Prob Survival
0,0.0,20.0,0,0,20,1.0,0.0,0.0,,,
1,1.0,19.0,1,0,20,0.95,0.050000000000000044,0.05,0.04873397172404482,1.0,0.8544831705972787
2,2.0,19.0,0,1,19,0.95,0.050000000000000044,0.05,0.04873397172404482,1.0,0.8544831705972787
3,3.0,17.0,1,0,18,0.8972222222222221,0.10277777777777786,0.10555555555555556,0.06891433470708916,1.0,0.7621526081777887
4,5.0,16.0,1,0,17,0.8444444444444443,0.15555555555555567,0.16437908496732026,0.0826349335084118,1.0,0.6824829509030951
5,6.0,16.0,0,1,16,0.8444444444444443,0.15555555555555567,0.16437908496732026,0.0826349335084118,1.0,0.6824829509030951
6,9.0,15.0,0,1,15,0.8444444444444443,0.15555555555555567,0.16437908496732026,0.0826349335084118,1.0,0.6824829509030951
7,10.0,14.0,0,1,14,0.8444444444444443,0.15555555555555567,0.16437908496732026,0.0826349335084118,1.0,0.6824829509030951
8,11.0,13.0,0,1,13,0.8444444444444443,0.15555555555555567,0.16437908496732026,0.0826349335084118,1.0,0.6824829509030951
9,12.0,12.0,0,1,12,0.8444444444444443,0.15555555555555567,0.16437908496732026,0.0826349335084118,1.0,0.6824829509030951
10,13.0,11.0,0,1,11,0.8444444444444443,0.15555555555555567,0.16437908496732026,0.0826349335084118,1.0,0.6824829509030951
11,14.0,9.0,1,0,10,0.7599999999999999,0.2400000000000001,0.26437908496732027,0.10931097332330768,0.9742455708287016,0.5457544291712982
12,17.0,8.0,1,1,9,0.6755555555555555,0.32444444444444454,0.37549019607843137,0.12561705038349988,0.9217604501513686,0.4293506609597423
13,18.0,7.0,0,1,7,0.6755555555555555,0.32444444444444454,0.37549019607843137,0.12561705038349988,0.9217604501513686,0.4293506609597423
14,19.0,6.0,0,1,6,0.6755555555555555,0.32444444444444454,0.37549019607843137,0.12561705038349988,0.9217604501513686,0.4293506609597423
15,21.0,5.0,0,1,5,0.6755555555555555,0.32444444444444454,0.37549019607843137,0.12561705038349988,0.9217604501513686,0.4293506609597423
16,23.0,3.0,1,0,4,0.5066666666666666,0.4933333333333334,0.6254901960784314,0.17397885496608095,0.8476589564717028,0.1656743768616304
17,24.0,3.0,0,3,3,0.5066666666666666,0.4933333333333334,0.6254901960784314,0.17397885496608095,0.8476589564717028,0.1656743768616304
