,Predictor,ModelDF,QuasiLLK,Scale,Deviance,DevDF,DevSig
0,Intercept,1,-1389.4642229885806,0.1705701231265137,,,
1,Voltage,2.0,-1312.7608570893349,0.1611738314412934,899.3763326576715,1.0,1.340906732166435e-197
2,Ambient,3.0,-1277.0229713510134,0.15680537467473152,443.470077229488,1.0,1.9020868209555756e-98
3,Intake_Pressure,4.0,-1269.9188790768646,0.1559522140583157,90.61031599057287,1.0,1.7494586703925816e-21
4,Accel,5.0,-1261.675057211614,0.154958862344831,105.72240881643272,1.0,8.482271475408367e-25
5,Engine_Oil_Temp,6.0,-1254.5717925623119,0.15410536697731383,91.67935982254795,1.0,1.0192244989477274e-21
6,Engine_Load,7.0,-1253.2130338844267,0.153957375170077,17.634151289294945,1.0,2.677370616316535e-05
7,Litres_Per_km,8.0,-1251.179731824704,0.1537264690778602,26.413831198102827,1.0,2.7556021838151344e-07
8,Throttle_Pos,9.0,-1250.6223434096214,0.15367686697095373,7.251690856183427,1.0,0.0070834282203512625
9,Coolant_Temp,10.0,-1250.4005483684102,0.15366849555959325,2.8865117513503398,1.0,0.0893241325745369
